day,month,year,reef,sharks
7,10,2020,QM,0
19,10,2020,QM,0
22,10,2020,QM,0
23,10,2020,QM,0
27,10,2020,QM,0
1,11,2020,QM,0
3,11,2020,QM,0
5,11,2020,QM,0
5,11,2020,QM,0
8,11,2020,QM,0
12,11,2020,QM,0
16,11,2020,QM,0
17,11,2020,QM,0
21,11,2020,QM,2
23,11,2020,QM,0
24,11,2020,QM,0
26,11,2020,QM,0
3,12,2020,QM,0
4,12,2020,QM,0
10,12,2020,QM,0
11,12,2020,QM,0
12,12,2020,QM,0
13,12,2020,QM,0
14,12,2020,QM,0
15,12,2020,QM,0
17,12,2020,QM,1
18,12,2020,QM,12
19,12,2020,QM,11
20,12,2020,QM,12
21,12,2020,QM,12
22,12,2020,QM,12
23,12,2020,QM,1
24,12,2020,QM,15
25,12,2020,QM,18
26,12,2020,QM,12
28,12,2020,QM,2
29,12,2020,QM,28
30,12,2020,QM,8
31,12,2020,QM,8
1,1,2021,QM,9
3,1,2021,QM,21
4,1,2021,QM,44
5,1,2021,QM,40
6,1,2021,QM,31
8,1,2021,QM,21
9,1,2021,QM,9
10,1,2021,QM,14
11,1,2021,QM,18
12,1,2021,QM,18
13,1,2021,QM,14
14,1,2021,QM,18
15,1,2021,QM,15
17,1,2021,QM,12
18,1,2021,QM,10
19,1,2021,QM,9
20,1,2021,QM,9
21,1,2021,QM,8
22,1,2021,QM,9
23,1,2021,QM,8
24,1,2021,QM,4
26,1,2021,QM,4
27,1,2021,QM,4
28,1,2021,QM,7
29,1,2021,QM,7
30,1,2021,QM,0
31,1,2021,QM,0
1,2,2021,QM,0
3,2,2021,QM,0
4,2,2021,QM,0
5,2,2021,QM,3
6,2,2021,QM,0
7,2,2021,QM,1
8,2,2021,QM,1
9,2,2021,QM,0
10,2,2021,QM,0
11,2,2021,QM,0
18,2,2021,QM,3
23,2,2021,QM,0
24,2,2021,QM,0
25,2,2021,QM,0
26,2,2021,QM,0
28,2,2021,QM,0
1,3,2021,QM,0
2,3,2021,QM,0
3,3,2021,QM,0
4,3,2021,QM,0
5,3,2021,QM,0
7,3,2021,QM,0
8,3,2021,QM,0
9,3,2021,QM,0
11,3,2021,QM,0
13,3,2021,QM,0
16,3,2021,QM,0
17,3,2021,QM,0
18,3,2021,QM,0
19,3,2021,QM,0
20,3,2021,QM,0
23,3,2021,QM,0
24,3,2021,QM,0
25,3,2021,QM,0
30,3,2021,QM,0
1,4,2021,QM,0
17,10,2020,RR,8
22,10,2020,RR,3
27,10,2020,RR,3
6,11,2020,RR,2
13,11,2020,RR,0
21,11,2020,RR,20
26,11,2020,RR,25
3,12,2020,RR,30
18,12,2020,RR,30
26,12,2020,RR,25
31,12,2020,RR,12
4,1,2021,RR,20
9,1,2021,RR,16
14,1,2021,RR,44
23,1,2021,RR,44
6,4,2021,RR,12
13,4,2021,RR,3
21,4,2021,RR,5
26,4,2021,RR,7
30,1,2021,RR,45
7,2,2021,RR,40
24,2,2021,RR,25
5,3,2021,RR,2
13,3,2021,RR,16
20,3,2021,RR,11
30,3,2021,RR,3
