day,month,year,reef,sst,bst,current_dir_to,current_dir_from,current_deg,current_speed,swell,vis,divers,shark_id,rest_frames,rest_seconds,tot_sharks,sharks_in_uvc,maxn,frames,camera_time,maxn_divers
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.01,1,30,1,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.02,2,60,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.03,5,150,2,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.04,4,120,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.05,2,60,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.06,3,90,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.07,32,960,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.08,6,180,2,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.09,4,120,1,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.10,9,270,4,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.11,4,120,2,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.12,13,390,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.13,9,270,7,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.14,2,60,1,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.15,1,30,1,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.16,3,90,1,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.17,5,150,3,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.18,4,120,2,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.19,4,120,4,23,10,1410,705,0
5,1,2023,QM,27.8,,E,W,90,0.3,1.5,10,N,QM.05.01.2023.20,4,120,2,23,10,1410,705,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.01,2,60,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.02,5,150,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.03,3,90,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.04,7,210,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.05,4,120,3,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.06,4,120,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.07,1,30,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.08,4,120,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.09,6,180,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.10,4,120,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.11,2,60,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.12,3,90,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.13,15,450,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.14,23,690,3,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.15,19,570,3,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.16,4,120,3,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.17,6,180,2,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.18,13,390,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.19,2,60,1,23,5,1305,652.5,0
11,1,2023,QM,28,,S,N,180,1.5,1.2,12,N,QM.11.01.2023.20,2,60,1,23,5,1305,652.5,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.01,8,240,2,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.02,5,150,3,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.03,21,630,2,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.04,6,180,4,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.05,2,60,4,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.06,10,300,7,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.07,5,150,4,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.08,6,180,2,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.09,2,60,2,30,10,1740,870,0
12,1,2023,QM,27.5,,SE,NW ,135,0.9,1.3,12,N,QM.12.01.2023.10,2,60,4,30,10,1740,870,0
