day,month,year,reef,sharks
15,12,2020,QM,0
17,12,2020,QM,6
18,12,2020,QM,6
19,12,2020,QM,14
20,12,2020,QM,2
21,12,2020,QM,9
22,12,2020,QM,3
23,12,2020,QM,3
24,12,2020,QM,10
25,12,2020,QM,11
26,12,2020,QM,5
27,12,2020,QM,2
28,12,2020,QM,17
29,12,2020,QM,13
30,12,2020,QM,7
31,12,2020,QM,13
1,1,2021,QM,11
2,1,2021,QM,7
3,1,2021,QM,13
4,1,2021,QM,46
5,1,2021,QM,8
6,1,2021,QM,6
7,1,2021,QM,5
8,1,2021,QM,6
9,1,2021,QM,5
10,1,2021,QM,4
11,1,2021,QM,0
12,1,2021,QM,0
13,1,2021,QM,6
14,1,2021,QM,22
15,1,2021,QM,8
16,1,2021,QM,4
17,1,2021,QM,1
18,1,2021,QM,1
19,1,2021,QM,1
20,1,2021,QM,2
21,1,2021,QM,3
22,1,2021,QM,3
23,1,2021,QM,6
24,1,2021,QM,3
27,1,2021,QM,2
28,1,2021,QM,2
29,1,2021,QM,2
30,1,2021,QM,0
31,1,2021,QM,0
1,2,2021,QM,0
2,2,2021,QM,2
3,2,2021,QM,0
4,2,2021,QM,0
22,10,2020,RR,4
23,10,2020,RR,3
26,10,2020,RR,3
27,10,2020,RR,3
28,10,2020,RR,3
29,10,2020,RR,3
7,11,2020,RR,1
11,11,2020,RR,1
13,11,2020,RR,2
15,11,2020,RR,3
16,11,2020,RR,11
17,11,2020,RR,17
18,11,2020,RR,8
21,11,2020,RR,3
26,11,2020,RR,2
27,11,2020,RR,7
28,11,2020,RR,9
29,11,2020,RR,8
30,11,2020,RR,8
1,12,2020,RR,12
2,12,2020,RR,8
3,12,2020,RR,21
4,12,2020,RR,4
5,12,2020,RR,3
6,12,2020,RR,13
7,12,2020,RR,15
8,12,2020,RR,14
9,12,2020,RR,12
10,12,2020,RR,6
11,12,2020,RR,6
12,12,2020,RR,6
13,12,2020,RR,4
14,12,2020,RR,25
15,12,2020,RR,27
16,12,2020,RR,29
17,12,2020,RR,17
18,12,2020,RR,25
19,12,2020,RR,12
20,12,2020,RR,15
21,12,2020,RR,30
22,12,2020,RR,27
23,12,2020,RR,5
24,12,2020,RR,5
25,12,2020,RR,10
26,12,2020,RR,8
27,12,2020,RR,3
31,12,2020,RR,11
1,1,2021,RR,4
2,1,2021,RR,2
3,1,2021,RR,9
4,1,2021,RR,22
5,1,2021,RR,21
6,1,2021,RR,18
7,1,2021,RR,15
8,1,2021,RR,5
9,1,2021,RR,9
10,1,2021,RR,8
11,1,2021,RR,6
12,1,2021,RR,8
13,1,2021,RR,14
14,1,2021,RR,17
15,1,2021,RR,14
16,1,2021,RR,21
17,1,2021,RR,37
18,1,2021,RR,33
19,1,2021,RR,34
20,1,2021,RR,13
21,1,2021,RR,19
22,1,2021,RR,9
23,1,2021,RR,1
24,1,2021,RR,15
25,1,2021,RR,4
26,1,2021,RR,16
27,1,2021,RR,10
28,1,2021,RR,25
29,1,2021,RR,18
30,1,2021,RR,19
31,1,2021,RR,19
1,2,2021,RR,16
2,2,2021,RR,31
3,2,2021,RR,58
4,2,2021,RR,14
5,2,2021,RR,0
6,2,2021,RR,12
7,2,2021,RR,7
8,2,2021,RR,26
9,2,2021,RR,4
10,2,2021,RR,12
24,2,2021,RR,10
25,2,2021,RR,5
6,3,2021,RR,4
7,3,2021,RR,1
8,3,2021,RR,7
9,3,2021,RR,5
13,3,2021,RR,4
15,3,2021,RR,6
16,3,2021,RR,6
17,3,2021,RR,7
18,3,2021,RR,9
19,3,2021,RR,12
20,3,2021,RR,10
21,3,2021,RR,15
22,3,2021,RR,11
23,3,2021,RR,5
24,3,2021,RR,7
25,3,2021,RR,4
26,3,2021,RR,7
27,3,2021,RR,4
28,3,2021,RR,1
30,3,2021,RR,2
31,3,2021,RR,7
